	BestCall	StromalScore	ImmuneScore	ESTIMATEScore	ssgsea_rna_c4	ssgsea_rna_c3	ssgsea_rna_c2	ImmuneClustC4
C3N.02768.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02769	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02770	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.02782	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.02783	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02784	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02785	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.02786	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02788	Lymphocyte_Depleted	False	True	True	2_c4	2_c3	0_c2	ImmuneCold
C3N.02925	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02940.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02944.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02971.T	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02998.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03000.T	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03006.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03007.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03008	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03009	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03011	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03012	IFN-Gamma	True	False	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03013	Wound_Healing	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03015	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03027	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03028	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03039.T	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03042	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03045	IFN-Gamma	False	True	False	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03051	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03061.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03069.T	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03070	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.03072	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03076	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03086.T	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03088	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03092	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03093	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03173.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03180	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03182	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03183	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03184	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.03186	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03188	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.03190.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03204	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.03211.T	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03226	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03424	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03425	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03426.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03428.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03430.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03433	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03439.T	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03440.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03441	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03456	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03457	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03458	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03473	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.03486	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03487	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03488	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03490	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03612	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03619	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03620	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03662	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03664	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03665.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03666.T	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03670.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03754.T	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03780.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03781	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03782	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.03783	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03785	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.03837	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03839.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03840.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03841	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03848	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03849	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03851	IFN-Gamma	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03853.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03875	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03876	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.03877	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.03878	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03880	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03882	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.03884.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03886	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.03888	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03889	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.03928	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.03933	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.04119.T	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.04124	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.04126.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.04127	Wound_Healing	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.04152	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.04155	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.04162	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.04273	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.04275	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.04276	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.04277	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.04278	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.04279	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.04280	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.04282.T	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.04283.T	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.04284.T	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.04611	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
CPT000814	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
CPT001846	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
MB088_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB091_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB095_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB099_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB102_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB104_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB106_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB118_GR4	Immunologically_Quiet	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB136_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB164_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB166_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB170_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB174_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB177_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB199_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB206_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB226_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB227_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB234_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB239_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB244_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB247_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB248_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB260_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB264_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB265_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB266_SHH	Inflammatory	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB268_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB269_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB270_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB271_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB274_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB275_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB277_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB278_GR3	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB281_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB284_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB287_SHH	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
MB288_GR4	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X01BR001	Inflammatory	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
X01BR008	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
X01BR009	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X01BR010	Wound_Healing	True	False	True	0_c4	1_c3	0_c2	ImmuneCool
X01BR015	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X01BR017	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X01BR018	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X01BR020	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X01BR023	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X01BR025	Inflammatory	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
X01BR026	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X01BR027	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
X01BR030	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X01BR031	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X01BR032	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X01BR033	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X01BR040	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X01BR042	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X01BR043	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
X03BR002	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X03BR004	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X03BR005	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X03BR006	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
X03BR010	Lymphocyte_Depleted	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
X03BR013	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X05BR001	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X05BR003	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X05BR004	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X05BR005	TGF-Beta	True	True	True	2_c4	2_c3	0_c2	ImmuneCold
X05BR009	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X05BR016	Inflammatory	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
X05BR026	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X05BR029	IFN-Gamma	False	True	False	1_c4	0_c3	1_c2	ImmuneWarm
X05BR038	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X05BR042	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X05BR043	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X05BR044	Inflammatory	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
X05BR045	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
X06BR003	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X06BR005	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X06BR006	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X06BR014	Inflammatory	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
X09BR001	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
X09BR004	Inflammatory	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X09BR005	Wound_Healing	True	False	True	2_c4	2_c3	0_c2	ImmuneCold
X09BR007	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR003	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR004	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR006	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR009	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR010	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR011	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR012	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR013	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
X11BR014	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR015	Inflammatory	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
X11BR016	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR017	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR018	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR019	Inflammatory	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X11BR020	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR022	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR023	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR024	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR025	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR027	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR028	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR030	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR031	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR032	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR036	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X11BR038	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR040	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR042	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR043	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR044	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR047	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR049	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR050	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR051	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR053	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X11BR054	Lymphocyte_Depleted	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
X11BR055	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR056	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR058	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR059	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR060	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR072	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11BR073	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11BR074	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR075	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X11BR080	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11LU013	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11LU016	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X11LU022	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X11LU035	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X13BR009	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
X14BR005	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
X14BR008	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X14BR014	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X15BR003	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X16BR012	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X18BR002	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X18BR003	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
X18BR004	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
X18BR006	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X18BR007	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X18BR009	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X18BR010	TGF-Beta	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X18BR016	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X18BR017	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X18BR019	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X20BR001	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X20BR002	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X20BR005	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X20BR006	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X20BR007	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X20BR008	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
X21BR001	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
X21BR002	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X21BR010	Lymphocyte_Depleted	True	True	True	2_c4	2_c3	0_c2	ImmuneCold
X22BR005	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
X22BR006	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
