	BestCall	StromalScore	ImmuneScore	ESTIMATEScore	ssgsea_rna_c4	ssgsea_rna_c3	ssgsea_rna_c2	ImmuneClustC4
C3N.01505	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01510.T	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01515	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01517	Lymphocyte_Depleted	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01518	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01520.T	Wound_Healing	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01521.T	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01522	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01524	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01537.T	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01620	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01643	Inflammatory	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01645	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01646	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01648	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01649	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01651	Inflammatory	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01714.T	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01715.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01716.T	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01719.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01752	IFN-Gamma	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01754	IFN-Gamma	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01755	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01756	Wound_Healing	False	False	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.01757	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01758	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01798	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01799	Inflammatory	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01802.T	Wound_Healing	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01808	Inflammatory	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01814	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01815	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01816	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01818	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01823	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01825.T	Wound_Healing	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01842	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01846	Wound_Healing	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01851	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01852	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01856	Lymphocyte_Depleted	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.01857	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.01858	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01859	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01892	Wound_Healing	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01893	TGF-Beta	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01943	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01944	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01945	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01946	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01947	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01948	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.01997.T	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.01998.T	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02000	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02002	Inflammatory	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02003	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02010.T	Wound_Healing	False	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02067	Lymphocyte_Depleted	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02087	IFN-Gamma	True	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02089	IFN-Gamma	False	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02145	TGF-Beta	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02149	IFN-Gamma	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02155	IFN-Gamma	False	True	False	0_c4	1_c3	0_c2	ImmuneCool
C3N.02158	IFN-Gamma	False	True	True	3_c4	0_c3	1_c2	ImmuneHot
C3N.02181	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02183	Lymphocyte_Depleted	True	True	True	1_c4	0_c3	1_c2	ImmuneWarm
C3N.02185	Lymphocyte_Depleted	False	False	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.02186	Lymphocyte_Depleted	False	True	False	2_c4	2_c3	0_c2	ImmuneCold
C3N.02188	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
C3N.02190	Lymphocyte_Depleted	True	True	True	0_c4	1_c3	0_c2	ImmuneCool
